Timestamp; Irradiance; Heatflux
2014-10-04 00:30:20;  -0.1;   0.0
2014-10-04 00:45:20;  -0.1;   0.0
2014-10-04 01:00:20;  -0.1;   0.0
2014-10-04 01:15:20;  -0.1;   0.0
2014-10-04 01:30:20;  -0.1;   0.0
2014-10-04 01:45:20;  -0.1;   0.0
2014-10-04 02:00:20;  -0.1;   0.0
2014-10-04 02:15:20;  -0.1;   0.0
2014-10-04 02:30:20;  -0.1;   0.0
2014-10-04 02:45:20;  -0.1;   0.0
2014-10-04 03:00:20;  -0.1;   0.0
2014-10-04 03:15:20;  -0.1;   0.0
2014-10-04 03:30:20;  -0.1;   0.0
2014-10-04 03:45:20;  -0.1;   0.0
2014-10-04 04:00:20;  -0.1;   0.0
2014-10-04 04:15:20;  -0.1;   0.0
2014-10-04 04:30:20;  -0.1;   0.0
2014-10-04 04:45:20;  -0.1;   0.0
2014-10-04 05:00:20;  -0.1;   0.0
2014-10-04 05:15:20;  -0.2;   0.0
2014-10-04 05:30:20;  -0.2;   0.0
2014-10-04 05:45:20;  -0.2;   0.0
2014-10-04 06:00:20;  -0.1;   0.0
2014-10-04 06:15:20;  -0.5;   0.0
2014-10-04 06:30:20;   1.7;   0.0
2014-10-04 06:45:20;   4.9;   0.0
2014-10-04 07:00:20;  13.5;   0.0
2014-10-04 07:15:20;  28.4;   0.0
2014-10-04 07:30:20;  45.9;   0.0
2014-10-04 07:45:20;  63.6;   0.0
2014-10-04 08:00:20;  81.5;   0.0
2014-10-04 08:15:20; 107.9;   0.0
2014-10-04 08:30:20;  95.2;   0.0
2014-10-04 08:45:20;  99.8;   0.0
2014-10-04 09:00:20; 100.3;   0.0
2014-10-04 09:15:20; 106.3;   0.0
2014-10-04 09:30:20;  95.4;   0.0
2014-10-04 09:45:20; 120.0;   0.0
2014-10-04 10:00:20; 127.4;   0.0
2014-10-04 10:15:20; 129.1;   0.0
2014-10-04 10:30:20; 191.9;   0.0
2014-10-04 10:45:20; 169.9;   0.0
2014-10-04 11:00:20; 287.2;   0.0
2014-10-04 11:15:20; 155.4;   0.0
2014-10-04 11:30:20; 116.7;   0.0
2014-10-04 11:45:20; 149.4;   0.0
2014-10-04 12:00:20; 114.4;   0.0
2014-10-04 12:15:20; 117.2;   0.0
2014-10-04 12:30:20; 150.9;   0.0
2014-10-04 12:45:20; 165.9;   0.0
2014-10-04 13:00:20; 204.5;   0.0
2014-10-04 13:15:20; 331.6;   0.0
2014-10-04 13:30:20; 243.1;   0.0
2014-10-04 13:45:20; 271.4;   0.0
2014-10-04 14:00:20; 266.8;   0.0
2014-10-04 14:15:20; 266.2;   0.0
2014-10-04 14:30:20; 183.4;   0.0
2014-10-04 14:45:20; 134.0;   0.0
2014-10-04 15:00:20; 190.6;   0.0
2014-10-04 15:15:20; 252.5;   0.0
2014-10-04 15:30:20; 140.6;   0.0
2014-10-04 15:45:20; 195.2;   0.0
2014-10-04 16:00:20; 202.1;   0.0
2014-10-04 16:15:20; 151.1;   0.0
2014-10-04 16:30:20; 118.3;   0.0
2014-10-04 16:45:20;  84.4;   0.0
2014-10-04 17:00:20;  62.3;   0.0
2014-10-04 17:15:20;  55.3;   0.0
2014-10-04 17:30:20;  23.1;   0.0
2014-10-04 17:45:20;   5.9;   0.0
2014-10-04 18:00:20;   0.4;   0.0
2014-10-04 18:15:20;   0.1;   0.0
2014-10-04 18:30:20;  -0.1;   0.0
2014-10-04 18:45:20;  -0.1;   0.0
2014-10-04 19:00:20;  -0.1;   0.0
2014-10-04 19:15:20;  -0.0;   0.0
2014-10-04 19:30:20;   0.1;   0.0
2014-10-04 19:45:20;   0.1;   0.0
2014-10-04 20:00:20;   0.1;   0.0
2014-10-04 20:15:20;   0.1;   0.0
2014-10-04 20:30:20;   0.1;   0.0
2014-10-04 20:45:20;   0.1;   0.0
2014-10-04 21:00:20;   0.1;   0.0
