timestamp, lat, lon, height
2024-09-10T122616,   69.212505,   15.858134,   10.5
2024-09-10T122617,   69.212488,    15.85814,   10.4
2024-09-10T122618,   69.212474,   15.858146,   10.3
2024-09-10T122619,   69.212466,    15.85815,   10.3
2024-09-10T122620,   69.212464,   15.858151,   10.2
2024-09-10T122621,   69.212464,   15.858151,   10.2
2024-09-10T122622,   69.212465,   15.858151,   10.0
2024-09-10T122623,   69.212465,   15.858151,    9.7
2024-09-10T122624,   69.212463,   15.858151,    9.3
2024-09-10T122625,   69.212463,   15.858151,    9.3
2024-09-10T122626,   69.212463,   15.858151,    9.2
2024-09-10T122627,   69.212463,   15.858152,    9.1
2024-09-10T122628,   69.212463,   15.858152,    9.1
2024-09-10T122629,   69.212463,   15.858152,    9.0
2024-09-10T122630,   69.212463,   15.858152,    8.9
2024-09-10T122631,   69.212463,   15.858152,    8.8
2024-09-10T122632,   69.212463,   15.858152,    8.7
2024-09-10T122633,   69.212463,   15.858152,    8.6
2024-09-10T122634,   69.212463,   15.858152,    8.5
2024-09-10T122635,   69.212466,    15.85815,    8.7
2024-09-10T122636,   69.212466,    15.85815,    8.4
2024-09-10T122637,   69.212466,    15.85815,    8.3
2024-09-10T122638,   69.212466,    15.85815,    8.3
2024-09-10T122639,   69.212466,    15.85815,    8.2
2024-09-10T122640,   69.212466,    15.85815,    8.1
2024-09-10T122641,   69.212466,    15.85815,    8.1
2024-09-10T122642,   69.212466,    15.85815,    8.0
2024-09-10T122643,   69.212466,    15.85815,    7.9
2024-09-10T122644,   69.212466,    15.85815,    7.9
2024-09-10T122645,   69.212466,    15.85815,    7.8
2024-09-10T122646,   69.212466,    15.85815,    7.8
2024-09-10T122647,   69.212466,    15.85815,    7.7
2024-09-10T122648,   69.212466,    15.85815,    7.6
2024-09-10T122649,   69.212466,    15.85815,    7.5
2024-09-10T122650,   69.212466,    15.85815,    7.5
2024-09-10T122651,   69.212466,    15.85815,    7.4
2024-09-10T122652,   69.212466,    15.85815,    7.3
2024-09-10T122653,   69.212465,    15.85815,    8.4
2024-09-10T122654,   69.212463,   15.858152,    8.5
2024-09-10T122655,   69.212455,   15.858156,    8.5
2024-09-10T122656,   69.212442,   15.858162,    8.6
2024-09-10T122657,   69.212423,   15.858169,    8.5
2024-09-10T122658,   69.212401,   15.858179,    8.6
2024-09-10T122659,   69.212381,   15.858189,    8.7
2024-09-10T122700,   69.212371,   15.858195,    8.8
2024-09-10T122701,   69.212368,   15.858198,    8.8
2024-09-10T122702,   69.212367,   15.858198,    8.7
2024-09-10T122703,   69.212364,   15.858206,    8.8
2024-09-10T122704,    69.21236,   15.858225,    8.6
2024-09-10T122705,   69.212356,   15.858255,    8.6
2024-09-10T122706,   69.212353,   15.858302,    8.4
2024-09-10T122707,   69.212355,   15.858348,    8.7
2024-09-10T122708,   69.212362,   15.858393,    8.8
2024-09-10T122709,   69.212369,   15.858429,    8.7
2024-09-10T122710,   69.212375,   15.858457,    8.4
2024-09-10T122711,    69.21238,   15.858479,    8.3
2024-09-10T122712,   69.212382,   15.858499,    8.4
2024-09-10T122713,   69.212383,    15.85851,    8.1
2024-09-10T122714,   69.212383,   15.858511,    7.9
2024-09-10T122715,   69.212383,   15.858511,    7.9
2024-09-10T122716,   69.212383,   15.858511,    7.7
2024-09-10T122717,   69.212383,   15.858514,    7.6
2024-09-10T122718,   69.212383,   15.858515,    7.4
2024-09-10T122719,   69.212383,   15.858515,    7.3
2024-09-10T122720,   69.212383,   15.858515,    7.3
2024-09-10T122721,   69.212383,   15.858515,    7.2
2024-09-10T122722,   69.212383,   15.858515,    7.2
2024-09-10T122723,   69.212383,   15.858515,    7.1
2024-09-10T122724,   69.212383,   15.858515,    7.1
2024-09-10T122725,   69.212383,   15.858515,    7.0
2024-09-10T122726,   69.212383,   15.858515,    7.0
2024-09-10T122727,   69.212383,   15.858515,    6.9
2024-09-10T122728,   69.212383,   15.858515,    6.9
2024-09-10T122729,   69.212383,   15.858515,    6.8
2024-09-10T122730,   69.212383,   15.858515,    6.8
2024-09-10T122731,   69.212383,    15.85851,    7.7
2024-09-10T122732,   69.212383,   15.858511,    7.4
2024-09-10T122733,   69.212383,   15.858511,    7.3
2024-09-10T122734,   69.212383,   15.858511,    7.3
2024-09-10T122735,   69.212383,   15.858511,    7.2
2024-09-10T122736,   69.212383,   15.858511,    7.2
2024-09-10T122737,   69.212383,   15.858511,    7.1
2024-09-10T122738,   69.212383,   15.858511,    7.1
2024-09-10T122739,   69.212383,   15.858511,    7.0
2024-09-10T122740,   69.212383,   15.858511,    7.0
2024-09-10T122741,   69.212383,   15.858511,    7.0
2024-09-10T122742,   69.212383,   15.858511,    6.9
2024-09-10T122743,   69.212383,   15.858511,    6.9
2024-09-10T122744,   69.212383,   15.858511,    6.8
2024-09-10T122745,   69.212385,   15.858528,    7.6
2024-09-10T122746,   69.212385,   15.858533,    7.7
2024-09-10T122747,   69.212386,   15.858536,    7.8
2024-09-10T122748,   69.212386,   15.858536,    8.0
2024-09-10T122749,   69.212386,   15.858536,    8.3
2024-09-10T122750,   69.212386,   15.858536,    8.5
2024-09-10T122751,   69.212386,   15.858538,    8.3
2024-09-10T122752,   69.212386,   15.858538,    8.2
2024-09-10T122753,   69.212386,   15.858539,    8.2
2024-09-10T122754,   69.212386,   15.858539,    8.1
2024-09-10T122755,   69.212386,   15.858539,    8.0
2024-09-10T122756,   69.212386,   15.858539,    8.0
2024-09-10T122757,   69.212386,   15.858539,    7.9
2024-09-10T122758,   69.212386,   15.858539,    7.9
2024-09-10T122759,   69.212386,   15.858539,    7.8
2024-09-10T122800,   69.212386,   15.858539,    7.7
2024-09-10T122801,   69.212386,   15.858539,    7.7
2024-09-10T122802,   69.212387,   15.858547,    7.9
2024-09-10T122803,   69.212387,   15.858547,    7.8
2024-09-10T122804,   69.212387,   15.858547,    7.6
2024-09-10T122805,   69.212387,   15.858547,    7.6
2024-09-10T122806,   69.212387,   15.858547,    7.6
2024-09-10T122807,   69.212387,   15.858547,    7.5
2024-09-10T122808,   69.212387,   15.858547,    7.5
2024-09-10T122809,   69.212387,   15.858547,    7.5
2024-09-10T122810,   69.212387,   15.858547,    7.5
2024-09-10T122811,   69.212386,   15.858543,    7.7
2024-09-10T122812,   69.212386,   15.858544,    7.4
2024-09-10T122813,   69.212386,   15.858544,    7.3
2024-09-10T122814,   69.212386,   15.858544,    7.3
2024-09-10T122815,   69.212386,   15.858544,    7.2
2024-09-10T122816,   69.212387,   15.858546,    7.6
2024-09-10T122817,   69.212387,   15.858547,    7.2
2024-09-10T122818,   69.212387,   15.858547,    7.2
2024-09-10T122819,   69.212387,   15.858547,    7.1
2024-09-10T122820,   69.212387,   15.858547,    7.1
2024-09-10T122821,   69.212387,   15.858548,    7.1
2024-09-10T122822,   69.212387,   15.858548,    7.0
2024-09-10T122823,   69.212387,   15.858547,    7.0
2024-09-10T122824,   69.212387,   15.858547,    7.0
2024-09-10T122825,   69.212387,   15.858547,    7.0
2024-09-10T122826,   69.212387,   15.858547,    6.9
2024-09-10T122827,   69.212387,   15.858547,    6.9
2024-09-10T122828,   69.212387,   15.858548,    6.9
2024-09-10T122829,   69.212387,   15.858547,    6.8
2024-09-10T122830,   69.212386,   15.858543,    7.5
2024-09-10T122831,   69.212386,   15.858544,    7.1
2024-09-10T122832,   69.212386,   15.858544,    7.0
2024-09-10T122833,   69.212386,   15.858544,    7.0
2024-09-10T122834,   69.212386,   15.858544,    7.0
2024-09-10T122835,   69.212386,   15.858544,    7.0
2024-09-10T122836,   69.212386,   15.858544,    6.9
2024-09-10T122837,   69.212386,   15.858544,    6.9
2024-09-10T122838,   69.212386,   15.858544,    6.9
2024-09-10T122839,   69.212387,   15.858553,    7.2
2024-09-10T122840,   69.212387,   15.858554,    6.7
2024-09-10T122841,   69.212387,   15.858554,    6.6
2024-09-10T122842,   69.212387,   15.858554,    6.6
2024-09-10T122843,   69.212387,   15.858554,    6.6
2024-09-10T122844,   69.212387,   15.858554,    6.6
2024-09-10T122845,   69.212387,   15.858554,    6.5
2024-09-10T122846,   69.212387,   15.858554,    6.5
2024-09-10T122847,   69.212387,   15.858554,    6.5
2024-09-10T122848,   69.212387,   15.858554,    6.5
2024-09-10T122849,   69.212387,    15.85855,    6.9
2024-09-10T122850,   69.212387,   15.858551,    6.5
2024-09-10T122851,   69.212387,   15.858551,    6.3
2024-09-10T122852,   69.212387,   15.858551,    6.3
2024-09-10T122853,   69.212387,   15.858551,    6.3
2024-09-10T122854,   69.212387,   15.858551,    6.3
2024-09-10T122855,   69.212387,   15.858551,    6.3
2024-09-10T122856,   69.212387,   15.858551,    6.3
2024-09-10T122857,   69.212387,   15.858551,    6.3
2024-09-10T122858,   69.212387,   15.858551,    6.3
2024-09-10T122859,   69.212387,   15.858551,    6.3
2024-09-10T122900,   69.212387,   15.858551,    6.3
2024-09-10T122901,   69.212387,   15.858551,    6.2
2024-09-10T122902,   69.212387,   15.858551,    6.2
2024-09-10T122903,   69.212387,   15.858551,    6.2
2024-09-10T122904,   69.212388,   15.858558,    6.9
2024-09-10T122905,   69.212388,   15.858559,    6.3
2024-09-10T122906,   69.212388,   15.858559,    6.2
2024-09-10T122907,   69.212388,   15.858561,    6.6
2024-09-10T122908,   69.212388,   15.858562,    6.5
2024-09-10T122909,   69.212388,   15.858562,    6.4
2024-09-10T122910,   69.212388,   15.858562,    6.4
2024-09-10T122911,   69.212389,   15.858566,    7.0
2024-09-10T122912,   69.212389,   15.858566,    6.8
2024-09-10T122913,   69.212389,   15.858568,    7.0
2024-09-10T122914,   69.212389,   15.858568,    6.8
