# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,26.464778900146484,1176450000,6
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,62.62626647949219,1561096000,5
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,37.883094787597656,1575420000,5
Agc,1725970928999,23505000000,,,-1410006123494725285,0.0,5.216243831486503,,,9,26.464778900146484,1176450000,5
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,41.02555847167969,1575420000,1
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,24.962825775146484,1176450000,1
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,58.7981071472168,1602000000,3
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,41.02555847167969,1575420000,6
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,24.962825775146484,1176450000,6
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,63.20831298828125,1561096000,5
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,41.02555847167969,1575420000,5
Agc,1725970929999,24505000000,,,-1410006123494725397,0.0,5.096237059442069,,,9,24.962825775146484,1176450000,5
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,39.22203063964844,1575420000,1
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,27.152156829833984,1176450000,1
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,61.720664978027344,1602000000,3
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,39.22203063964844,1575420000,6
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,27.152156829833984,1176450000,6
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,62.62626647949219,1561096000,5
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,39.22203063964844,1575420000,5
Agc,1725970930999,25505000000,,,-1410006123494725511,0.0,4.893728862437114,-111.0,1.0,9,27.152156829833984,1176450000,5
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,40.70967483520508,1575420000,1
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,29.240116119384766,1176450000,1
Agc,1725970931999,26505000000,,,-1410006123494725623,0.0,4.7680159651737,-112.0,1.0,9,60.15611267089844,1602000000,3
